,State,DC Fast Charge,Level 1,Level 2,EV Network
168,CA,,,1.0,Non-Networked
169,IL,,2.0,2.0,ChargePoint Network
170,IL,,,4.0,ChargePoint Network
171,IL,,,2.0,ChargePoint Network
172,IL,,2.0,2.0,ChargePoint Network
173,IL,,1.0,1.0,ChargePoint Network
174,IL,,2.0,2.0,ChargePoint Network
175,SC,,,2.0,Non-Networked
176,SC,,,2.0,Non-Networked
177,SC,,,2.0,Non-Networked
178,CT,,,2.0,Non-Networked
179,CT,,2.0,2.0,Non-Networked
180,CT,,,3.0,Non-Networked
181,CT,,,3.0,Non-Networked
182,CT,,,2.0,Non-Networked
183,CT,,8.0,4.0,Non-Networked
184,CT,,,4.0,Non-Networked
185,CT,,1.0,1.0,Non-Networked
186,CT,,,3.0,Non-Networked
187,MI,,2.0,2.0,ChargePoint Network
188,MI,,2.0,2.0,ChargePoint Network
189,MI,,3.0,5.0,ChargePoint Network
190,MI,,1.0,1.0,ChargePoint Network
191,NY,,,1.0,ChargePoint Network
192,WI,,,2.0,ChargePoint Network
193,WI,,,2.0,ChargePoint Network
194,SC,,1.0,1.0,Non-Networked
195,OH,,,1.0,Non-Networked
196,WV,,,2.0,Non-Networked
197,FL,,,2.0,ChargePoint Network
198,FL,,,2.0,ChargePoint Network
199,FL,,,2.0,ChargePoint Network
200,FL,,,2.0,ChargePoint Network
201,FL,,,2.0,ChargePoint Network
202,FL,,1.0,3.0,ChargePoint Network
203,IL,,2.0,2.0,ChargePoint Network
204,MO,,,1.0,Non-Networked
205,OR,,1.0,5.0,ChargePoint Network
206,OR,,13.0,13.0,ChargePoint Network
207,TX,,1.0,1.0,ChargePoint Network
208,WA,,,2.0,ChargePoint Network
209,CA,,2.0,,Non-Networked
210,OR,,,1.0,Non-Networked
211,UT,,,4.0,Non-Networked
212,UT,,2.0,1.0,Non-Networked
213,WA,,1.0,,Non-Networked
214,WA,,1.0,,Non-Networked
215,WA,,1.0,,Non-Networked
216,WA,,1.0,,Non-Networked
217,WA,,2.0,2.0,Non-Networked
218,WA,,1.0,,Non-Networked
219,KS,,2.0,2.0,ChargePoint Network
220,MI,,,2.0,ChargePoint Network
221,MO,,1.0,1.0,ChargePoint Network
222,MI,,4.0,4.0,ChargePoint Network
223,MO,,1.0,1.0,ChargePoint Network
224,MO,,1.0,1.0,ChargePoint Network
225,MA,,,1.0,Non-Networked
226,FL,,,3.0,Non-Networked
227,WA,,4.0,7.0,ChargePoint Network
228,CT,,,2.0,Non-Networked
229,MA,,,16.0,ChargePoint Network
230,SC,,,10.0,Non-Networked
231,SC,,,2.0,Non-Networked
232,SC,,,2.0,Non-Networked
233,SC,,,2.0,Non-Networked
234,SC,,,2.0,Non-Networked
235,SC,,,4.0,Non-Networked
236,SC,,,2.0,Non-Networked
237,SC,,,2.0,Non-Networked
238,SC,,,2.0,Non-Networked
239,SC,,,2.0,Non-Networked
240,SC,,,2.0,Non-Networked
241,SC,1.0,,3.0,Non-Networked
242,SC,,,2.0,Non-Networked
243,SC,,,2.0,Non-Networked
244,SC,,,2.0,Non-Networked
245,SC,,,2.0,Non-Networked
246,CA,,,12.0,Non-Networked
247,CA,,,3.0,Non-Networked
248,CA,,,7.0,Non-Networked
249,CA,,,1.0,Non-Networked
250,CA,,,5.0,Non-Networked
251,CA,1.0,,14.0,Non-Networked
252,CO,1.0,18.0,9.0,Non-Networked
253,MA,,1.0,4.0,Non-Networked
254,NM,,1.0,1.0,ChargePoint Network
255,MI,,,1.0,Non-Networked
256,IN,,,2.0,Non-Networked
257,MI,,,1.0,Non-Networked
258,FL,,,4.0,ChargePoint Network
259,FL,,1.0,1.0,ChargePoint Network
260,NJ,,1.0,1.0,ChargePoint Network
261,NV,,,1.0,ChargePoint Network
262,IA,,1.0,1.0,ChargePoint Network
263,IL,,2.0,2.0,ChargePoint Network
264,IL,,,4.0,Non-Networked
265,IL,,,3.0,Non-Networked
266,LA,,1.0,1.0,ChargePoint Network
267,MD,,1.0,1.0,ChargePoint Network
268,MI,,,2.0,ChargePoint Network
269,MI,,1.0,1.0,ChargePoint Network
270,MN,,1.0,1.0,ChargePoint Network
271,NC,,,1.0,ChargePoint Network
272,CA,,1.0,2.0,ChargePoint Network
273,CA,,1.0,6.0,ChargePoint Network
274,CA,,,33.0,ChargePoint Network
275,CA,10.0,,15.0,ChargePoint Network
276,CA,,,1.0,ChargePoint Network
277,CA,,8.0,8.0,ChargePoint Network
278,CA,,,39.0,ChargePoint Network
279,CA,,,3.0,ChargePoint Network
280,FL,,,4.0,ChargePoint Network
281,WA,,,4.0,ChargePoint Network
282,WA,,1.0,1.0,ChargePoint Network
283,WA,,,2.0,ChargePoint Network
284,WA,,,2.0,ChargePoint Network
285,WA,,,4.0,ChargePoint Network
286,WI,,,1.0,ChargePoint Network
287,NY,1.0,,,ChargePoint Network
288,TX,,3.0,3.0,ChargePoint Network
289,WI,,,1.0,ChargePoint Network
290,NC,,,2.0,Non-Networked
291,NC,,,1.0,Non-Networked
292,TX,1.0,,2.0,Non-Networked
293,CA,1.0,,,ChargePoint Network
294,CA,,,1.0,Non-Networked
295,VA,,,1.0,Non-Networked
296,VA,,,2.0,Non-Networked
297,MN,,1.0,,Non-Networked
298,MN,,1.0,,Non-Networked
299,MN,,1.0,,Non-Networked
300,MN,,1.0,,Non-Networked
301,MN,,1.0,,Non-Networked
302,MN,,1.0,,Non-Networked
303,TN,,,1.0,Non-Networked
304,TN,,,1.0,Non-Networked
305,TX,,,1.0,Non-Networked
306,TX,,,1.0,Non-Networked
307,TX,,,1.0,Non-Networked
308,TX,,,1.0,Non-Networked
309,TX,,,1.0,Non-Networked
310,TX,,,1.0,Non-Networked
311,TX,,,1.0,Non-Networked
312,TX,,,1.0,Non-Networked
313,TX,,,1.0,Non-Networked
314,TX,,,1.0,Non-Networked
315,TX,,,1.0,Non-Networked
316,TX,,,1.0,Non-Networked
317,TX,,,1.0,Non-Networked
318,TX,1.0,,1.0,Non-Networked
319,TX,,,1.0,Non-Networked
320,TX,,,1.0,Non-Networked
321,TX,1.0,,1.0,Non-Networked
322,TX,1.0,,1.0,Non-Networked
323,TX,1.0,,1.0,Non-Networked
324,TX,,,1.0,Non-Networked
325,TX,1.0,,1.0,Non-Networked
326,TX,,,1.0,Non-Networked
327,TX,,,1.0,Non-Networked
328,TX,,,1.0,Non-Networked
329,TX,,,1.0,Non-Networked
330,TX,,,1.0,Non-Networked
331,TX,,,1.0,Non-Networked
332,TX,,,1.0,Non-Networked
333,TX,1.0,,1.0,Non-Networked
334,TX,,,1.0,Non-Networked
335,TX,,,1.0,Non-Networked
336,TX,1.0,,1.0,Non-Networked
337,TX,,,1.0,Non-Networked
338,TX,,,1.0,Non-Networked
339,TX,,,1.0,Non-Networked
340,TX,1.0,,2.0,Non-Networked
341,TX,,,1.0,Non-Networked
342,TX,,,1.0,Non-Networked
343,TX,,,1.0,Non-Networked
344,TX,,,1.0,Non-Networked
345,TX,,,1.0,Non-Networked
346,TX,,,1.0,Non-Networked
347,TX,,,1.0,Non-Networked
348,TX,,,1.0,Non-Networked
349,TX,,,1.0,Non-Networked
350,TX,1.0,,1.0,Non-Networked
351,TX,1.0,,1.0,Non-Networked
352,TX,,,1.0,Non-Networked
353,TX,,,1.0,Non-Networked
354,TX,,,1.0,Non-Networked
355,TX,,,1.0,Non-Networked
356,TX,,,1.0,Non-Networked
357,VA,1.0,,3.0,Non-Networked
358,VA,1.0,,1.0,Non-Networked
359,VA,1.0,,2.0,Non-Networked
360,VA,,,1.0,Non-Networked
361,VA,1.0,,2.0,Non-Networked
362,VA,1.0,,2.0,Non-Networked
363,VA,,4.0,,Non-Networked
364,VA,,,4.0,ChargePoint Network
365,VA,1.0,,1.0,Non-Networked
366,VA,2.0,,1.0,Non-Networked
367,VA,,,2.0,Non-Networked
368,VA,1.0,,3.0,Non-Networked
369,WA,1.0,,2.0,Non-Networked
370,WA,,,1.0,Non-Networked
371,WA,1.0,,2.0,Non-Networked
372,WA,,,2.0,Non-Networked
373,WA,,,2.0,Non-Networked
374,WA,,,1.0,Non-Networked
375,WA,,,1.0,Non-Networked
376,WA,1.0,,2.0,Non-Networked
377,WA,1.0,,1.0,Non-Networked
378,WA,1.0,,1.0,Non-Networked
379,WA,,,1.0,Non-Networked
380,WA,1.0,,2.0,Non-Networked
381,WA,,,1.0,Non-Networked
382,WA,,,1.0,Non-Networked
383,WA,,,1.0,Non-Networked
384,TN,1.0,,1.0,Non-Networked
385,TN,1.0,,1.0,Non-Networked
386,TN,,,1.0,Non-Networked
387,TN,,,1.0,Non-Networked
388,TN,,,1.0,Non-Networked
389,TN,1.0,,1.0,Non-Networked
390,TN,1.0,,1.0,Non-Networked
391,TN,,,1.0,Non-Networked
392,TN,,,1.0,Non-Networked
393,TN,,,1.0,Non-Networked
394,TN,,,1.0,Non-Networked
395,TN,,,1.0,Non-Networked
396,TN,,,1.0,Non-Networked
397,TN,,,1.0,Non-Networked
398,TN,1.0,,1.0,Non-Networked
399,TN,1.0,,2.0,Non-Networked
400,TN,1.0,,2.0,Non-Networked
401,OR,,,1.0,Non-Networked
402,OR,1.0,,2.0,Non-Networked
403,OR,,,1.0,Non-Networked
404,OR,,,1.0,Non-Networked
405,OR,,,1.0,Non-Networked
406,OR,,,1.0,Non-Networked
407,OR,,,1.0,Non-Networked
408,OR,,,1.0,Non-Networked
409,OR,,,1.0,Non-Networked
410,OR,1.0,,2.0,Non-Networked
411,OR,,,2.0,Non-Networked
412,SC,1.0,,2.0,Non-Networked
413,SC,1.0,,1.0,Non-Networked
414,TN,,,1.0,Non-Networked
415,TN,1.0,,2.0,Non-Networked
416,TN,,,1.0,Non-Networked
417,TN,,,1.0,Non-Networked
418,AL,1.0,,1.0,Non-Networked
419,AL,,,1.0,Non-Networked
420,AL,1.0,,1.0,Non-Networked
421,AL,1.0,,1.0,Non-Networked
422,AZ,,,1.0,Non-Networked
423,AZ,1.0,,2.0,Non-Networked
424,AZ,,,1.0,Non-Networked
425,AZ,,,1.0,Non-Networked
426,AZ,1.0,,2.0,Non-Networked
427,AZ,,,1.0,Non-Networked
428,AZ,1.0,,1.0,Non-Networked
429,AZ,,,1.0,Non-Networked
430,AZ,,,3.0,Non-Networked
431,AZ,1.0,,3.0,Non-Networked
432,AZ,,,1.0,Non-Networked
433,AZ,1.0,,2.0,Non-Networked
434,AZ,,,1.0,Non-Networked
435,CA,,,1.0,Non-Networked
436,CA,,,1.0,Non-Networked
437,CA,1.0,,1.0,Non-Networked
438,CA,,,3.0,Non-Networked
439,CA,,,2.0,Non-Networked
440,CA,1.0,,1.0,Non-Networked
441,CA,,,1.0,Non-Networked
442,CA,,,3.0,Non-Networked
443,CA,1.0,,2.0,Non-Networked
444,CA,,,1.0,Non-Networked
445,CA,1.0,,1.0,Non-Networked
446,CA,,,1.0,Non-Networked
447,CA,1.0,,2.0,Non-Networked
448,CA,,,2.0,Non-Networked
449,CA,1.0,,1.0,Non-Networked
450,CA,,,4.0,Non-Networked
