,State,DC Fast Charge,Level 1,Level 2,EV Network
214,FL,,1.0,3.0,ChargePoint Network
215,IL,,2.0,2.0,ChargePoint Network
216,MO,,,1.0,
217,NY,,1.0,1.0,ChargePoint Network
218,OR,,1.0,5.0,ChargePoint Network
219,OR,,13.0,13.0,ChargePoint Network
220,TX,,1.0,1.0,ChargePoint Network
221,WA,,,2.0,ChargePoint Network
222,CA,,,10.0,ChargePoint Network
223,FL,,1.0,1.0,ChargePoint Network
224,CA,,2.0,,
225,OR,,,1.0,
226,UT,,,4.0,
227,UT,,2.0,1.0,
228,WA,,1.0,,
229,WA,,1.0,,
230,WA,,1.0,,
231,WA,,1.0,,
232,WA,,2.0,2.0,
233,WA,,1.0,,
234,KS,,2.0,2.0,ChargePoint Network
235,MI,,,2.0,ChargePoint Network
236,MO,,1.0,1.0,ChargePoint Network
237,MI,,4.0,4.0,ChargePoint Network
238,MI,,1.0,1.0,ChargePoint Network
239,MO,,1.0,1.0,ChargePoint Network
240,MO,,1.0,1.0,ChargePoint Network
241,MA,,,1.0,
242,FL,,,3.0,
243,WA,,4.0,7.0,ChargePoint Network
244,CT,,,2.0,
245,MA,,,2.0,
246,MA,,,16.0,ChargePoint Network
247,SC,,,10.0,
248,SC,,,2.0,
249,SC,,,2.0,
250,SC,,,2.0,
251,SC,,,2.0,
252,SC,,,4.0,
253,SC,,,2.0,
254,SC,,,2.0,
255,SC,,,2.0,
256,SC,,,2.0,
257,SC,,,2.0,
258,SC,1.0,,2.0,
259,SC,,,2.0,
260,SC,,,2.0,
261,SC,,,2.0,
262,SC,,,2.0,
263,CA,,,12.0,
264,CA,,,3.0,
265,CA,,,7.0,
266,CA,,,1.0,
267,CA,,,5.0,
268,CA,1.0,,14.0,
269,CO,1.0,18.0,9.0,
270,MA,,1.0,1.0,
271,NM,,1.0,1.0,ChargePoint Network
272,NY,,1.0,1.0,ChargePoint Network
273,MI,,,1.0,
274,FL,,,2.0,ChargePoint Network
275,IN,,,2.0,
276,MI,,,1.0,
277,FL,,1.0,1.0,ChargePoint Network
278,FL,,1.0,1.0,ChargePoint Network
279,FL,,1.0,1.0,ChargePoint Network
280,FL,,1.0,5.0,ChargePoint Network
281,FL,,2.0,2.0,ChargePoint Network
282,FL,,1.0,1.0,ChargePoint Network
283,FL,,1.0,1.0,ChargePoint Network
284,NC,,,1.0,ChargePoint Network
285,NJ,,1.0,1.0,ChargePoint Network
286,NV,,,1.0,ChargePoint Network
287,IA,,1.0,1.0,ChargePoint Network
288,IL,,2.0,2.0,ChargePoint Network
289,IL,,,4.0,
290,IL,,,3.0,
291,LA,,1.0,1.0,ChargePoint Network
292,MD,,1.0,1.0,ChargePoint Network
293,MD,,3.0,3.0,ChargePoint Network
294,MD,,3.0,3.0,ChargePoint Network
295,MD,,1.0,1.0,ChargePoint Network
296,MI,,2.0,2.0,ChargePoint Network
297,MI,,1.0,1.0,ChargePoint Network
298,MI,,1.0,1.0,ChargePoint Network
299,MI,,1.0,1.0,ChargePoint Network
300,MI,,1.0,1.0,ChargePoint Network
301,MN,,1.0,1.0,ChargePoint Network
302,NC,,,3.0,ChargePoint Network
303,NC,,,3.0,ChargePoint Network
304,CA,,1.0,2.0,ChargePoint Network
305,CA,,1.0,6.0,ChargePoint Network
306,CA,,1.0,31.0,ChargePoint Network
307,CA,,,15.0,ChargePoint Network
308,CA,,2.0,2.0,ChargePoint Network
309,CA,,8.0,8.0,ChargePoint Network
310,CA,,,29.0,ChargePoint Network
311,CA,,3.0,3.0,ChargePoint Network
312,FL,,,4.0,ChargePoint Network
313,FL,,1.0,1.0,ChargePoint Network
314,FL,,1.0,1.0,ChargePoint Network
315,FL,,1.0,1.0,ChargePoint Network
316,WA,,,4.0,ChargePoint Network
317,WA,,1.0,1.0,ChargePoint Network
318,WA,,3.0,3.0,ChargePoint Network
319,WA,,,2.0,ChargePoint Network
320,WA,,5.0,5.0,ChargePoint Network
321,WA,,3.0,3.0,ChargePoint Network
322,WA,,2.0,2.0,ChargePoint Network
323,WA,,,2.0,ChargePoint Network
324,WA,,2.0,2.0,ChargePoint Network
325,WI,,1.0,1.0,ChargePoint Network
326,NY,1.0,,,ChargePoint Network
327,TX,,2.0,2.0,ChargePoint Network
328,TX,,2.0,2.0,ChargePoint Network
329,TX,,1.0,1.0,ChargePoint Network
330,WI,,,1.0,ChargePoint Network
331,NC,,,2.0,
332,NC,,,1.0,
333,TX,1.0,,2.0,
334,CA,1.0,,,ChargePoint Network
335,CA,,,1.0,
336,VA,,,1.0,
337,VA,,,2.0,
338,MN,,1.0,,
339,MN,,1.0,,
340,MN,,1.0,,
341,MN,,1.0,,
342,MN,,1.0,,
343,MN,,1.0,,
344,TN,,,1.0,
345,TN,,,1.0,
346,TX,,,1.0,
347,TX,,,1.0,
348,TX,,,1.0,
349,TX,,,1.0,
350,TX,,,1.0,
351,TX,,,1.0,
352,TX,,,1.0,
353,TX,,,1.0,
354,TX,,,1.0,
355,TX,,,1.0,
356,TX,,,1.0,
357,TX,,,1.0,
358,TX,,,1.0,
359,TX,1.0,,1.0,
360,TX,,,1.0,
361,TX,,,1.0,
362,TX,1.0,,1.0,
363,TX,1.0,,1.0,
364,TX,1.0,,1.0,
365,TX,,,1.0,
366,TX,1.0,,1.0,
367,TX,,,1.0,
368,TX,,,1.0,
369,TX,,,1.0,
370,TX,,,1.0,
371,TX,,,1.0,
372,TX,,,1.0,
373,TX,,,1.0,
374,TX,1.0,,1.0,
375,TX,,,1.0,
376,TX,,,1.0,
377,TX,1.0,,1.0,
378,TX,,,1.0,
379,TX,,,1.0,
380,TX,,,1.0,
381,TX,1.0,,2.0,
382,TX,,,1.0,
383,TX,,,1.0,
384,TX,,,1.0,
385,TX,,,1.0,
386,TX,,,1.0,
387,TX,,,1.0,
388,TX,,,1.0,
389,TX,,,1.0,
390,TX,,,1.0,
391,TX,1.0,,1.0,
392,TX,1.0,,1.0,
393,TX,,,1.0,
394,TX,,,1.0,
395,TX,,,1.0,
396,TX,,,1.0,
397,TX,,,1.0,
398,VA,1.0,,3.0,
399,VA,1.0,,1.0,
400,VA,1.0,,2.0,
401,VA,,,1.0,
402,VA,1.0,,2.0,
403,VA,1.0,,2.0,
404,VA,,4.0,,
405,VA,,,4.0,ChargePoint Network
406,VA,1.0,,1.0,
407,VA,2.0,,1.0,
408,VA,,,2.0,
409,VA,1.0,,3.0,
410,WA,1.0,,1.0,
411,WA,,,1.0,
412,WA,1.0,,2.0,
413,WA,,,2.0,
414,WA,,,2.0,
415,WA,,,1.0,
416,WA,,,1.0,
417,WA,1.0,,1.0,
418,WA,1.0,,1.0,
419,WA,,1.0,1.0,ChargePoint Network
420,WA,1.0,,1.0,
421,WA,,,1.0,
422,WA,1.0,,1.0,
423,WA,,,1.0,
424,WA,,,1.0,
425,WA,,,1.0,
426,TN,1.0,,1.0,
427,TN,1.0,,1.0,
428,TN,,,1.0,
429,TN,,,1.0,
430,TN,,,1.0,
431,TN,1.0,,1.0,
432,TN,1.0,,1.0,
433,TN,,,1.0,
434,TN,,,1.0,
435,TN,,,1.0,
436,TN,,,1.0,
437,TN,,,1.0,
438,TN,,,1.0,
439,TN,,,1.0,
440,TN,1.0,,1.0,
441,TN,1.0,,2.0,
442,TN,1.0,,2.0,
443,OR,,,1.0,
444,OR,1.0,,3.0,
445,OR,,,1.0,
446,OR,,,1.0,
447,OR,,,1.0,
448,OR,,,1.0,
449,OR,,,1.0,
450,OR,,,1.0,
451,OR,,,1.0,
452,OR,1.0,,1.0,
453,OR,,,2.0,
454,SC,1.0,,1.0,
455,SC,1.0,,1.0,
456,TN,,,1.0,
457,TN,1.0,,2.0,
458,TN,,,1.0,
459,TN,,,1.0,
460,AL,1.0,,4.0,
461,AL,,,1.0,
462,AL,1.0,,1.0,
463,AL,1.0,,1.0,
464,AZ,,,1.0,
465,AZ,1.0,,2.0,
466,AZ,,,1.0,
467,AZ,,,1.0,
468,AZ,1.0,,2.0,
469,AZ,,,1.0,
470,AZ,1.0,,1.0,
471,AZ,,,1.0,
472,AZ,,,3.0,
473,AZ,1.0,,3.0,Greenlots
474,AZ,,,1.0,
475,AZ,1.0,,,
476,AZ,,,1.0,
477,CA,,,1.0,
478,CA,,,1.0,
479,CA,1.0,,1.0,
480,CA,,,3.0,
481,CA,,,2.0,
482,CA,,,1.0,
483,CA,,,1.0,
484,CA,,,3.0,
485,CA,1.0,,2.0,
486,CA,,,1.0,
487,CA,1.0,,1.0,
488,CA,,,1.0,
489,CA,1.0,,2.0,
490,CA,,,2.0,
491,CA,,,1.0,
492,CA,,,4.0,
493,CA,,,1.0,
494,CA,,,1.0,
495,CA,,,2.0,
496,CA,1.0,,4.0,
497,CA,,,1.0,
498,CA,,,1.0,
499,CA,,,3.0,
500,CA,,,2.0,
501,CA,,,2.0,
502,CA,,,1.0,
503,CA,1.0,,2.0,
504,CA,,,1.0,
505,CA,,,2.0,
506,CA,,,1.0,
507,CA,,,3.0,
508,CA,1.0,,2.0,
509,CA,,,1.0,
510,CA,1.0,,2.0,
511,CA,1.0,,2.0,
512,CA,1.0,,2.0,
513,CA,1.0,,1.0,
514,CA,,,2.0,
515,CA,,,1.0,
516,CA,,,1.0,
517,CA,,,1.0,
518,CA,1.0,,1.0,
519,CA,1.0,,3.0,
520,CA,,,1.0,
521,CA,,,1.0,
522,CA,1.0,,2.0,
523,CA,1.0,,2.0,
524,CA,,,1.0,
525,CA,,,2.0,
526,CA,,,4.0,
527,CA,1.0,,1.0,
528,CA,,,1.0,
529,CA,,,3.0,
530,CA,,,1.0,
531,CA,,,1.0,
532,CA,,,2.0,
533,CA,,,1.0,
534,CA,1.0,,1.0,
535,CA,1.0,,1.0,
536,CA,1.0,,1.0,
537,CA,1.0,,1.0,
538,CA,1.0,,1.0,
539,CA,,,2.0,
540,CA,,,1.0,
541,CA,1.0,,2.0,
542,CA,1.0,,2.0,
543,CA,1.0,,4.0,
544,CA,,,1.0,
545,CA,,,1.0,
546,CA,,,4.0,
547,CA,1.0,,2.0,
548,CA,,,1.0,
549,CA,,,1.0,
550,CA,,,2.0,
551,CA,1.0,,2.0,
552,CA,,,1.0,
553,CA,,,1.0,
554,CA,,,1.0,
555,CA,,,3.0,
556,CA,,,1.0,
557,CA,,,1.0,
558,CA,,,1.0,
559,CA,,,1.0,
560,FL,,,1.0,
561,FL,,,1.0,
562,FL,1.0,,1.0,
563,FL,1.0,,1.0,
564,FL,1.0,,1.0,
565,FL,,,1.0,
566,FL,1.0,,1.0,
567,FL,,,1.0,
568,FL,1.0,,1.0,
569,FL,1.0,,1.0,
570,FL,1.0,,1.0,
571,FL,,,1.0,
572,FL,,,1.0,
573,FL,1.0,,1.0,
574,FL,,,1.0,
575,FL,1.0,,1.0,
576,FL,,,1.0,
577,FL,,,1.0,
578,FL,,,1.0,
579,GA,1.0,,1.0,
580,GA,1.0,,1.0,
581,GA,1.0,,1.0,
582,GA,1.0,,1.0,
583,GA,1.0,,1.0,
584,GA,1.0,,1.0,
585,GA,,,1.0,
586,GA,1.0,,1.0,
587,GA,1.0,,1.0,
588,GA,,,1.0,
589,HI,1.0,,2.0,
590,HI,,,1.0,
591,HI,1.0,,1.0,
592,HI,1.0,,2.0,
593,MD,,,4.0,SemaCharge Network
594,MD,,,4.0,SemaCharge Network
595,MD,,,2.0,SemaCharge Network
596,MD,,,5.0,SemaCharge Network
597,MD,,1.0,2.0,
598,MD,,,1.0,
599,MD,,,2.0,
600,MD,,,1.0,SemaCharge Network
601,MD,,,5.0,SemaCharge Network
602,MD,,,1.0,
603,MD,,,1.0,
604,MD,,,2.0,SemaCharge Network
605,MD,,5.0,5.0,ChargePoint Network
606,MD,1.0,,1.0,
607,MD,,,1.0,
608,MD,,,1.0,SemaCharge Network
609,MD,,,1.0,SemaCharge Network
610,MD,1.0,,1.0,
611,MD,,,2.0,SemaCharge Network
612,MD,,,1.0,SemaCharge Network
613,MD,,,2.0,SemaCharge Network
614,MD,,1.0,5.0,ChargePoint Network
615,MN,,1.0,1.0,ChargePoint Network
616,MN,,2.0,2.0,ChargePoint Network
617,MN,,4.0,4.0,
618,MN,,2.0,2.0,
619,MN,,1.0,1.0,ChargePoint Network
620,MN,,2.0,2.0,ChargePoint Network
621,MN,,2.0,2.0,ChargePoint Network
622,MN,,2.0,4.0,ChargePoint Network
623,MN,,1.0,1.0,ChargePoint Network
624,MN,,,2.0,
625,NC,1.0,,1.0,
626,NC,1.0,,1.0,
627,NC,,,1.0,
628,NC,,,1.0,
629,CA,,,2.0,
630,SC,,,2.0,
631,VA,,,1.0,
632,NJ,,2.0,2.0,ChargePoint Network
633,NV,,,4.0,ChargePoint Network
634,TX,,,4.0,ChargePoint Network
635,TX,,,6.0,ChargePoint Network
636,VA,,,1.0,
637,VA,,5.0,5.0,ChargePoint Network
638,VA,1.0,,2.0,
639,WA,,,6.0,ChargePoint Network
640,WA,,3.0,3.0,ChargePoint Network
641,WI,,1.0,1.0,ChargePoint Network
642,WI,,1.0,3.0,ChargePoint Network
643,CA,,,12.0,ChargePoint Network
644,CA,,1.0,9.0,ChargePoint Network
645,CA,,1.0,9.0,ChargePoint Network
646,CA,,1.0,9.0,ChargePoint Network
647,CA,,,2.0,ChargePoint Network
648,CA,,1.0,1.0,ChargePoint Network
649,CA,,1.0,1.0,ChargePoint Network
650,CA,,1.0,1.0,
651,CT,,1.0,1.0,ChargePoint Network
652,FL,,2.0,2.0,ChargePoint Network
653,FL,,1.0,1.0,ChargePoint Network
654,FL,,1.0,1.0,ChargePoint Network
655,FL,,1.0,1.0,ChargePoint Network
656,FL,,,2.0,
657,MI,,1.0,1.0,ChargePoint Network
658,MI,,1.0,1.0,ChargePoint Network
659,MI,,1.0,1.0,ChargePoint Network
660,MI,,1.0,1.0,ChargePoint Network
661,MI,,1.0,1.0,ChargePoint Network
662,MI,,1.0,3.0,ChargePoint Network
663,MI,,1.0,1.0,ChargePoint Network
664,MI,,2.0,2.0,ChargePoint Network
665,MI,,1.0,1.0,ChargePoint Network
666,MI,,1.0,1.0,ChargePoint Network
667,MI,,1.0,1.0,ChargePoint Network
668,MI,,1.0,1.0,ChargePoint Network
669,MI,,1.0,1.0,ChargePoint Network
670,MN,,1.0,1.0,
671,MO,,1.0,1.0,ChargePoint Network
672,SC,,,1.0,
673,VA,,,1.0,
674,SC,,,2.0,
675,SC,,,1.0,
676,CT,,,1.0,
677,DC,,1.0,1.0,
678,FL,,,2.0,
679,MI,,,1.0,
680,MI,,,1.0,
681,MI,,,24.0,
682,MI,,,2.0,
683,MI,,,1.0,
684,MI,,,2.0,
685,MI,,,1.0,
686,OH,,,2.0,
687,MI,,,2.0,
688,MD,,1.0,1.0,
689,PA,,,2.0,
690,VA,,,3.0,
691,MI,,,4.0,
692,NC,,2.0,2.0,
693,NC,,,2.0,
694,MD,,,2.0,SemaCharge Network
695,NC,,,1.0,
696,NC,,1.0,1.0,
697,OR,,2.0,3.0,
698,VA,,,1.0,SemaCharge Network
699,WA,,,8.0,
700,OR,,1.0,1.0,
701,OR,,1.0,1.0,
702,GA,,6.0,6.0,
703,HI,,,1.0,
704,IL,,,2.0,
705,IL,,,1.0,ChargePoint Network
706,IL,,,1.0,ChargePoint Network
707,IL,,,1.0,ChargePoint Network
708,IL,,,1.0,ChargePoint Network
709,MD,,,2.0,SemaCharge Network
710,MD,,,2.0,SemaCharge Network
711,NH,,2.0,2.0,ChargePoint Network
712,TN,,1.0,1.0,ChargePoint Network
713,NC,,,2.0,
714,OR,,1.0,1.0,ChargePoint Network
715,OR,,1.0,1.0,ChargePoint Network
716,SC,,,1.0,ChargePoint Network
717,AR,,,1.0,
718,AR,,1.0,1.0,ChargePoint Network
719,AR,,1.0,1.0,ChargePoint Network
720,FL,,1.0,1.0,ChargePoint Network
721,FL,,,2.0,ChargePoint Network
722,FL,,,2.0,ChargePoint Network
723,FL,,2.0,2.0,ChargePoint Network
724,FL,,,2.0,ChargePoint Network
725,FL,,,2.0,ChargePoint Network
726,FL,,,2.0,ChargePoint Network
727,FL,,2.0,2.0,ChargePoint Network
728,FL,,1.0,1.0,ChargePoint Network
729,FL,,1.0,1.0,ChargePoint Network
730,FL,,1.0,1.0,ChargePoint Network
731,FL,,1.0,1.0,ChargePoint Network
732,IA,,,1.0,
733,IA,,,1.0,
734,IA,,,1.0,
735,IL,,1.0,1.0,ChargePoint Network
736,IL,,1.0,1.0,ChargePoint Network
737,KS,,2.0,2.0,ChargePoint Network
738,MD,,,2.0,ChargePoint Network
739,MD,,,2.0,ChargePoint Network
740,MI,,,1.0,ChargePoint Network
741,MI,,1.0,1.0,ChargePoint Network
742,MI,,1.0,1.0,ChargePoint Network
743,MI,,1.0,1.0,
744,MI,,1.0,1.0,ChargePoint Network
745,MI,,1.0,1.0,ChargePoint Network
746,MI,,1.0,1.0,ChargePoint Network
747,MI,,1.0,1.0,ChargePoint Network
748,MI,,1.0,1.0,ChargePoint Network
749,MI,,1.0,1.0,
750,MI,,1.0,1.0,ChargePoint Network
751,MI,,1.0,1.0,ChargePoint Network
752,MI,,,1.0,ChargePoint Network
753,MI,,2.0,2.0,ChargePoint Network
754,MI,,1.0,1.0,ChargePoint Network
755,MI,,1.0,1.0,ChargePoint Network
756,OR,,,2.0,
757,VA,,,1.0,
758,SC,,,1.0,
759,SC,,,1.0,ChargePoint Network
760,SC,,,1.0,
761,MA,,,2.0,
762,CA,,2.0,2.0,ChargePoint Network
763,CA,,,6.0,ChargePoint Network
764,MD,,,2.0,SemaCharge Network
765,MD,,,2.0,SemaCharge Network
766,MD,,,5.0,SemaCharge Network
767,MD,,,1.0,SemaCharge Network
768,NJ,,1.0,1.0,ChargePoint Network
769,NV,,,13.0,ChargePoint Network
770,NY,,1.0,1.0,ChargePoint Network
771,NY,,1.0,1.0,ChargePoint Network
772,NY,,1.0,1.0,ChargePoint Network
773,NY,,1.0,1.0,ChargePoint Network
774,NY,,1.0,1.0,ChargePoint Network
775,NY,,,2.0,ChargePoint Network
776,NY,,1.0,1.0,ChargePoint Network
777,SC,,,3.0,
778,TX,,,4.0,ChargePoint Network
779,TX,,,2.0,ChargePoint Network
780,TX,,,4.0,ChargePoint Network
781,TX,,2.0,2.0,ChargePoint Network
782,TX,,1.0,1.0,ChargePoint Network
783,TX,,1.0,1.0,ChargePoint Network
784,TX,,1.0,1.0,ChargePoint Network
785,VA,,2.0,2.0,ChargePoint Network
