,State,DC Fast Charge,Level 1,Level 2,EV Network
213,OR,,,1.0,
214,UT,,,4.0,
215,UT,,2.0,1.0,
216,WA,,1.0,,
217,WA,,1.0,,
218,WA,,1.0,,
219,WA,,1.0,,
220,WA,,2.0,2.0,
221,WA,,1.0,,
222,KS,,2.0,2.0,ChargePoint Network
223,MI,,,2.0,ChargePoint Network
224,MO,,1.0,1.0,ChargePoint Network
225,MI,,4.0,4.0,ChargePoint Network
226,MO,,1.0,1.0,ChargePoint Network
227,MO,,1.0,1.0,ChargePoint Network
228,MA,,,1.0,
229,FL,,,3.0,
230,WA,,4.0,7.0,ChargePoint Network
231,CT,,,2.0,
232,MA,,,2.0,
233,MA,,,16.0,ChargePoint Network
234,SC,,,10.0,
235,SC,,,2.0,
236,SC,,,2.0,
237,SC,,,2.0,
238,SC,,,2.0,
239,SC,,,4.0,
240,SC,,,2.0,
241,SC,,,2.0,
242,SC,,,2.0,
243,SC,,,2.0,
244,SC,,,2.0,
245,SC,1.0,,2.0,
246,SC,,,2.0,
247,SC,,,2.0,
248,SC,,,2.0,
249,SC,,,2.0,
250,CA,,,12.0,
251,CA,,,3.0,
252,CA,,,7.0,
253,CA,,,1.0,
254,CA,,,5.0,
255,CA,1.0,,14.0,
256,CO,1.0,18.0,9.0,
257,MA,,1.0,1.0,
258,NM,,1.0,1.0,ChargePoint Network
259,MI,,,1.0,
260,IN,,,2.0,
261,MI,,,1.0,
262,FL,,,4.0,ChargePoint Network
263,FL,,1.0,1.0,ChargePoint Network
264,NJ,,1.0,1.0,ChargePoint Network
265,NV,,,1.0,ChargePoint Network
266,IA,,1.0,1.0,ChargePoint Network
267,IL,,2.0,2.0,ChargePoint Network
268,IL,,,4.0,
269,IL,,,3.0,
270,LA,,1.0,1.0,ChargePoint Network
271,MD,,1.0,1.0,ChargePoint Network
272,MI,,,2.0,ChargePoint Network
273,MI,,1.0,1.0,ChargePoint Network
274,MN,,1.0,1.0,ChargePoint Network
275,NC,,,1.0,ChargePoint Network
276,CA,,1.0,2.0,ChargePoint Network
277,CA,,1.0,6.0,ChargePoint Network
278,CA,,1.0,31.0,ChargePoint Network
279,CA,,,15.0,ChargePoint Network
280,CA,,2.0,2.0,ChargePoint Network
281,CA,,8.0,8.0,ChargePoint Network
282,CA,,,39.0,ChargePoint Network
283,CA,,,3.0,ChargePoint Network
284,FL,,,4.0,ChargePoint Network
285,FL,,1.0,1.0,ChargePoint Network
286,WA,,,4.0,ChargePoint Network
287,WA,,1.0,1.0,ChargePoint Network
288,WA,,,2.0,ChargePoint Network
289,WA,,5.0,5.0,ChargePoint Network
290,WA,,,2.0,ChargePoint Network
291,WA,,,4.0,ChargePoint Network
292,WI,,,1.0,ChargePoint Network
293,NY,1.0,,,ChargePoint Network
294,TX,,1.0,1.0,ChargePoint Network
295,TX,,2.0,2.0,ChargePoint Network
296,TX,,1.0,1.0,ChargePoint Network
297,WI,,,1.0,ChargePoint Network
298,NC,,,2.0,
299,NC,,,1.0,
300,TX,1.0,,2.0,
301,CA,1.0,,,ChargePoint Network
302,CA,,,1.0,
303,VA,,,1.0,
304,VA,,,2.0,
305,MN,,1.0,,
306,MN,,1.0,,
307,MN,,1.0,,
308,MN,,1.0,,
309,MN,,1.0,,
310,MN,,1.0,,
311,TN,,,1.0,
312,TN,,,1.0,
313,TX,,,1.0,
314,TX,,,1.0,
315,TX,,,1.0,
316,TX,,,1.0,
317,TX,,,1.0,
318,TX,,,1.0,
319,TX,,,1.0,
320,TX,,,1.0,
321,TX,,,1.0,
322,TX,,,1.0,
323,TX,,,1.0,
324,TX,,,1.0,
325,TX,,,1.0,
326,TX,1.0,,1.0,
327,TX,,,1.0,
328,TX,,,1.0,
329,TX,1.0,,1.0,
330,TX,1.0,,1.0,
331,TX,1.0,,1.0,
332,TX,,,1.0,
333,TX,1.0,,1.0,
334,TX,,,1.0,
335,TX,,,1.0,
336,TX,,,1.0,
337,TX,,,1.0,
338,TX,,,1.0,
339,TX,,,1.0,
340,TX,,,1.0,
341,TX,1.0,,1.0,
342,TX,,,1.0,
343,TX,,,1.0,
344,TX,1.0,,1.0,
345,TX,,,1.0,
346,TX,,,1.0,
347,TX,,,1.0,
348,TX,1.0,,2.0,
349,TX,,,1.0,
350,TX,,,1.0,
351,TX,,,1.0,
352,TX,,,1.0,
353,TX,,,1.0,
354,TX,,,1.0,
355,TX,,,1.0,
356,TX,,,1.0,
357,TX,,,1.0,
358,TX,1.0,,1.0,
359,TX,1.0,,1.0,
360,TX,,,1.0,
361,TX,,,1.0,
362,TX,,,1.0,
363,TX,,,1.0,
364,TX,,,1.0,
365,VA,1.0,,3.0,
366,VA,1.0,,1.0,
367,VA,1.0,,2.0,
368,VA,,,1.0,
369,VA,1.0,,2.0,
370,VA,1.0,,2.0,
371,VA,,4.0,,
372,VA,,,4.0,ChargePoint Network
373,VA,1.0,,1.0,
374,VA,2.0,,1.0,
375,VA,,,2.0,
376,VA,1.0,,3.0,
377,WA,1.0,,2.0,
378,WA,,,1.0,
379,WA,1.0,,2.0,
380,WA,,,2.0,
381,WA,,,2.0,
382,WA,,,1.0,
383,WA,,,1.0,
384,WA,1.0,,2.0,
385,WA,1.0,,1.0,
386,WA,1.0,,1.0,
387,WA,,,1.0,
388,WA,1.0,,2.0,
389,WA,,,1.0,
390,WA,,,1.0,
391,WA,,,1.0,
392,TN,1.0,,1.0,
393,TN,1.0,,1.0,
394,TN,,,1.0,
395,TN,,,1.0,
396,TN,,,1.0,
397,TN,1.0,,1.0,
398,TN,1.0,,1.0,
399,TN,,,1.0,
400,TN,,,1.0,
401,TN,,,1.0,
402,TN,,,1.0,
403,TN,,,1.0,
404,TN,,,1.0,
405,TN,,,1.0,
406,TN,1.0,,1.0,
407,TN,1.0,,2.0,
408,TN,1.0,,2.0,
409,OR,,,1.0,
410,OR,1.0,,2.0,
411,OR,,,1.0,
412,OR,,,1.0,
413,OR,,,1.0,
414,OR,,,1.0,
415,OR,,,1.0,
416,OR,,,1.0,
417,OR,,,1.0,
418,OR,1.0,,2.0,
419,OR,,,2.0,
420,SC,1.0,,2.0,
421,SC,1.0,,1.0,
422,TN,,,1.0,
423,TN,1.0,,2.0,
424,TN,,,1.0,
425,TN,,,1.0,
426,AL,1.0,,4.0,
427,AL,,,1.0,
428,AL,1.0,,1.0,
429,AL,1.0,,1.0,
430,AZ,,,1.0,
431,AZ,1.0,,2.0,
432,AZ,,,1.0,
433,AZ,,,1.0,
434,AZ,1.0,,2.0,
435,AZ,,,1.0,
436,AZ,1.0,,1.0,
437,AZ,,,1.0,
438,AZ,,,3.0,
439,AZ,1.0,,3.0,Greenlots
440,AZ,,,1.0,
441,AZ,1.0,,2.0,
442,AZ,,,1.0,
443,CA,,,1.0,
444,CA,,,1.0,
445,CA,1.0,,1.0,
446,CA,,,3.0,
447,CA,,,2.0,
448,CA,,,1.0,
449,CA,,,1.0,
450,CA,,,3.0,
451,CA,1.0,,2.0,
452,CA,,,1.0,
453,CA,1.0,,1.0,
454,CA,,,1.0,
455,CA,1.0,,2.0,
456,CA,,,2.0,
457,CA,,,1.0,
458,CA,,,4.0,
459,CA,,,1.0,
460,CA,,,1.0,
461,CA,,,2.0,
462,CA,1.0,,4.0,
463,CA,,,1.0,
464,CA,,,1.0,
465,CA,,,3.0,
466,CA,,,2.0,
467,CA,,,2.0,
468,CA,,,1.0,
469,CA,1.0,,2.0,
470,CA,,,1.0,
471,CA,,,2.0,
472,CA,,,1.0,
473,CA,,,3.0,
474,CA,1.0,,2.0,
475,CA,,,1.0,
476,CA,1.0,,2.0,
477,CA,1.0,,2.0,
478,CA,1.0,,2.0,
479,CA,1.0,,1.0,
480,CA,,,2.0,
481,CA,,,1.0,
482,CA,,,1.0,
483,CA,,,1.0,
484,CA,1.0,,1.0,
485,CA,1.0,,3.0,
486,CA,,,1.0,
487,CA,,,1.0,
488,CA,1.0,,2.0,
489,CA,1.0,,2.0,
490,CA,,,1.0,
491,CA,,,2.0,
492,CA,,,4.0,
493,CA,1.0,,1.0,
494,CA,,,1.0,
495,CA,,,3.0,
496,CA,,,1.0,
497,CA,,,1.0,
498,CA,,,2.0,
499,CA,,,1.0,
500,CA,1.0,,1.0,
501,CA,1.0,,2.0,
502,CA,1.0,,1.0,
503,CA,1.0,,1.0,
504,CA,1.0,,1.0,
505,CA,,,2.0,
506,CA,,,1.0,
507,CA,1.0,,2.0,
508,CA,1.0,,2.0,
509,CA,1.0,,4.0,
510,CA,,,1.0,
511,CA,,,1.0,
512,CA,,,4.0,
513,CA,1.0,,2.0,
514,CA,,,1.0,
515,CA,,,1.0,
516,CA,,,2.0,
517,CA,1.0,,2.0,
518,CA,,,1.0,
519,CA,,,1.0,
520,CA,,,1.0,
521,CA,,,3.0,
522,CA,,,1.0,
523,CA,,,1.0,
524,CA,,,1.0,
525,CA,,,1.0,
526,FL,,,1.0,
527,FL,,,1.0,
528,FL,1.0,,1.0,
529,FL,1.0,,1.0,
530,FL,1.0,,1.0,
531,FL,,,1.0,
532,FL,1.0,,1.0,
533,FL,,,1.0,
534,FL,1.0,,1.0,
535,FL,1.0,,1.0,
536,FL,1.0,,1.0,
537,FL,,,1.0,
538,FL,,,1.0,
539,FL,1.0,,1.0,
540,FL,,,1.0,
541,FL,1.0,,1.0,
542,FL,,,1.0,
543,FL,,,1.0,
544,FL,,,1.0,
545,GA,1.0,,1.0,
546,GA,1.0,,1.0,
